player_id,country_id,name,sex,hand,ht,year_of_birth
214149,UKR,Kateryna Kozlova,F,R,,1995
201593,GER,Andrea Petkovic,F,R,180.0,1988
202505,CZE,Katerina Siniakova,F,R,174.0,1997
216153,ROU,Monica Niculescu,F,R,168.0,1988
201512,ROU,Monica Niculescu,F,R,168.0,1988
211107,RUS,Ekaterina Makarova,F,L,178.0,1989
201505,RUS,Ekaterina Makarova,F,L,178.0,1989
214939,RUS,Anna Kalinskaya,F,R,,1999
202503,THA,Luksika Kumkhum,F,R,,1994
206374,AUS,Ellen Perez,F,L,,1996
206391,AUS,Ellen Perez,F,L,,1996
206292,AUS,Priscilla Hon,F,R,,1999
206289,LAT,Jelena Ostapenko,F,R,177.0,1998
201345,GBR,Harriet Dart,F,R,,1997
202490,ROU,Sorana Cirstea,F,R,176.0,1991
201514,ROU,Sorana Cirstea,F,R,176.0,1991
201596,BLR,Vera Lapko,F,R,,1999
214304,BLR,Vera Lapko,F,R,,1999
201496,BEL,Alison Van Uytvanck,F,R,173.0,1995
202421,BEL,Alison Van Uytvanck,F,R,173.0,1995
203501,USA,Taylor Townsend,F,L,,1997
201693,TUN,Ons Jabeur,F,R,167.0,1995
202460,TUN,Ons Jabeur,F,R,167.0,1995
214954,RUS,Evgeniya Rodina,F,R,,1990
201516,RUS,Evgeniya Rodina,F,R,,1990
201549,GBR,Heather Watson,F,R,170.0,1993
204427,ESP,Sara Sorribes Tormo,F,R,,1997
201465,BEL,Kirsten Flipkens,F,R,165.0,1986
201499,PUR,Monica Puig,F,R,170.0,1994
201590,USA,Alison Riske,F,R,173.0,1991
201504,GER,Julia Goerges,F,R,180.0,1989
203500,BEL,Ysaline Bonaventure,F,L,,1995
204434,BEL,Ysaline Bonaventure,F,L,,1995
201614,FRA,Jessika Ponchet,F,U,,1997
211316,FRA,Jessika Ponchet,F,U,,1997
211651,ESP,Paula Badosa,F,R,180.0,1998
206242,USA,Bernarda Pera,F,L,,1995
201555,SLO,Polona Hercog,F,R,182.0,1992
132283,GBR,Jay Clarke,M,R,,1999
126652,GBR,Jay Clarke,M,R,,1999
105216,ITA,Lorenzo Giustino,M,R,,1992
105841,ITA,Lorenzo Giustino,M,R,,1992
200095,FRA,Stephane Robert,M,R,185.0,1981
105963,BEL,Arthur De Greef,M,R,,1993
144895,FRA,Corentin Moutet,M,L,178.0,2000
124079,ITA,Andrea Arnaboldi,M,L,,1988
104873,AUT,Dennis Novak,M,R,,1994
126845,AUS,Max Purcell,M,R,,1999
105585,GER,Daniel Brands,M,R,196.0,1988
109303,ITA,Matteo Donati,M,R,,1996
106390,ITA,Matteo Donati,M,R,,1996
134868,NED,Tallon Griekspoor,M,R,,1997
123755,COL,Daniel Elahi Galan,,R,191.0,1997
126205,DOM,Roberto Cid,M,R,,1994
106232,DOM,Roberto Cid,M,R,,1994
200514,KAZ,Alexander Bublik,M,R,196.0,1998
122330,KAZ,Alexander Bublik,M,R,196.0,1998
104297,BRA,Rogerio Dutra Silva,M,R,178.0,1985
134770,NOR,Casper Ruud,M,R,183.0,1999
104735,ARG,Facundo Bagnis,M,L,183.0,1991
105487,ARG,Facundo Bagnis,M,L,183.0,1991
106249,FRA,Constant Lestienne,M,R,,1993
106005,FRA,Constant Lestienne,M,R,,1993
105634,ITA,Viktor Galovic,M,R,,1991
105782,USA,Donald Young,M,L,183.0,1990
105385,USA,Donald Young,M,L,183.0,1990
133297,KOR,Soon Woo Kwon,M,R,180.0,1998
126952,KOR,Soon Woo Kwon,M,R,180.0,1998
105065,SVK,Lukas Lacko,M,R,185.0,1988
105041,SVK,Lukas Lacko,M,R,185.0,1988
106353,SRB,Nikola Milojevic,M,R,188.0,1996
110748,SRB,Nikola Milojevic,M,R,188.0,1996
123921,AUS,Alexander Crnokrak,M,R,,2001
200466,AUS,Alexander Crnokrak,M,R,,2001
111460,FRA,Quentin Halys,M,R,,1997
106293,BEL,Ruben Bemelmans,M,L,,1988
200221,ESP,Daniel Gimeno Traver,M,R,185.0,1986
104424,USA,Sebastian Korda,M,R,196.0,2001
200624,USA,Sebastian Korda,M,R,196.0,2001
106228,ESP,Tommy Robredo,M,R,180.0,1983
103990,ESP,Tommy Robredo,M,R,180.0,1983
106214,ITA,Salvatore Caruso,M,R,185.0,1993
106099,ITA,Salvatore Caruso,M,R,185.0,1993
106105,BRA,Guilherme Clezar,M,R,,1993
105300,ESP,Sergio Gutierrez Ferrol,M,R,,1990
124014,USA,Ernesto Escobedo,M,R,,1997
105641,CZE,Adam Pavlasek,M,R,,1995
106361,CZE,Adam Pavlasek,M,R,,1995
105633,EGY,Mohamed Safwat,M,R,183.0,1991
144645,CZE,Zdenek Kolar,M,R,,1997
136440,AUS,Blake Ellis,M,U,,1999
104460,ARG,Carlos Berlocq,M,R,183.0,1984
104122,ARG,Carlos Berlocq,M,R,183.0,1984
105655,AUS,Rinky Hijikata,M,U,,2002
208014,AUS,Rinky Hijikata,M,U,,2002
105561,ITA,Alessandro Giannessi,M,L,183.0,1991
104932,FRA,Kenny De Schepper,M,L,203.0,1988
105906,GER,Kevin Krawietz,M,R,190.0,1993
105943,ITA,Federico Gaio,M,R,,1993
104629,USA,Christian Harrison,M,R,,1995
106328,USA,Christian Harrison,M,R,,1995
105985,CYP,Marcos Baghdatis,M,R,183.0,1986
106072,SVK,Filip Horansky,M,R,,1993
106110,SVK,Filip Horansky,M,R,,1993
103917,FRA,Nicolas Mahut,M,R,190.0,1983
105064,BRA,Thomaz Bellucci,M,L,188.0,1988
111795,GER,Yannick Maden,M,R,185.0,1990
120424,GER,Yannick Maden,M,R,185.0,1990
121531,AUS,Luke Saville,M,R,,1995
106291,AUS,Luke Saville,M,R,,1995
111511,AUS,Akira Santillan,M,R,,1998
117361,AUS,Akira Santillan,M,R,,1998
126125,USA,Jc Aragone,M,R,,1996
111574,USA,Jc Aragone,M,R,,1996
106296,KOR,Duck Hee Lee,M,R,,1999
117353,KOR,Duck Hee Lee,M,R,,1999
126846,AUS,Aleksandar Vukic,M,R,,1997
201329,RUS,Vera Zvonareva,F,R,172.0,1985
202491,ITA,Anastasia Grymalska,F,R,,1991
202437,ITA,Anastasia Grymalska,F,R,,1991
201542,UKR,Katarina Zavatska,F,R,,2001
215290,UKR,Katarina Zavatska,F,R,,2001
202701,AUT,Barbara Haas,F,R,,1997
202482,AUT,Barbara Haas,F,R,,1997
201664,TUR,Pemra Ozgen,F,R,,1987
201501,ESP,Silvia Soler Espinosa,F,R,,1988
201562,ESP,Silvia Soler Espinosa,F,R,,1988
215804,LIE,Kathinka Von Deichmann,F,R,,1995
210303,LIE,Kathinka Von Deichmann,F,R,,1995
203569,RUS,Olga Doroshina,F,L,,1995
213525,SUI,Jil Belen Teichmann,F,L,,1998
201529,GBR,Gabriella Taylor,F,R,,1999
213602,GBR,Gabriella Taylor,F,R,,1999
202440,KOR,Na Lae Han,F,L,,1993
204291,KOR,Na Lae Han,F,L,,1993
202467,BUL,Elitsa Kostova,F,R,,1991
215042,GBR,Katie Swan,F,R,170.0,2000
204394,ROU,Irina Maria Bara,F,R,,1996
210705,ROU,Irina Maria Bara,F,R,,1996
202493,GEO,Ekaterine Gorgodze,F,L,,1992
202702,JPN,Ayano Shimizu,F,U,,1999
