tourney_id,date_id,tourney_name,surface,draw_size,tourney_level,tourney_spectators,tourney_revenue
2018-0533,20180226
2018-M006,20180305
2018-M007,20180319
2018-M-DC-2018-G1-AM-M-ARG-CHI-01,20180406
2018-M-DC-2018-G1-EPA-M-AUT-RUS-01,20180406
2018-M-DC-2018-G1-EPA-M-BIH-SVK-01,20180406
2018-M-DC-2018-G1-AM-M-COL-BRA-01,20180406
2018-M-DC-2018-G1-EPA-M-CZE-ISR-01,20180406
2018-M-DC-2018-G1-AO-M-IND-CHN-01,20180406
2018-M-DC-2018-G1-AO-M-PAK-UZB-01,20180406
2018-M-DC-2018-G1-EPA-M-POR-SWE-01,20180406
2018-M-DC-2018-WG-M-ESP-GER-01,20180406
2018-M-DC-2018-WG-M-FRA-ITA-01,20180406
2018-M-DC-2018-WG-M-KAZ-CRO-01,20180406
2018-M-DC-2018-WG-M-USA-BEL-01,20180406
2018-M-DC-2018-G2-EPA-M-EGY-DEN-01,20180407
2018-M-DC-2018-G2-EPA-M-FIN-LTU-01,20180407
2018-M-DC-2018-G2-AO-M-HKG-LBN-01,20180407
2018-M-DC-2018-G2-AM-M-MEX-PER-01,20180407
2018-M-DC-2018-G2-EPA-M-POL-ZIM-01,20180407
2018-M-DC-2018-G2-EPA-M-ROU-MAR-01,20180407
2018-M-DC-2018-G2-AO-M-THA-PHI-01,20180407
2018-M-DC-2018-G2-AM-M-VEN-URU-01,20180407
2018-0717,20180409
2018-0360,20180409
2018-0410,20180416
2018-0425,20180423
2018-7648,20180423
2018-7290,20180430
2018-7163,20180430
2018-0308,20180430
2018-M021,20180507
2018-M009,20180514
2018-0322,20180521
2018-7694,20180521
2018-520,20180528
2018-M010,20180611
2018-0321,20180611
2018-0500,20180618
2018-0311,20180618
2018-7650,20180625
2018-M016,20180625
2018-540,20180702
2018-0316,20180716
2018-0315,20180716
2018-0439,20180716
2018-6116,20180723
2018-0314,20180723
2018-0414,20180723
2018-7480,20180730
2018-0319,20180730
2018-M035,20180730
2018-0421,20180806
2018-M024,20180813
2018-6242,20180820
2018-560,20180827
2018-M-DC-2018-G2-EPA-M-EGY-FIN-01,20180914
2018-M-DC-2018-WG-PO-ARG-COL-01,20180914
2018-M-DC-2018-WG-PO-AUT-AUS-01,20180914
2018-M-DC-2018-WG-PO-CAN-NED-01,20180914
2018-M-DC-2018-WG-PO-GBR-UZB-01,20180914
2018-M-DC-2018-WG-PO-HUN-CZE-01,20180914
2018-M-DC-2018-WG-PO-JPN-BIH-01,20180914
2018-M-DC-2018-WG-PO-SRB-IND-01,20180914
2018-M-DC-2018-WG-PO-SUI-SWE-01,20180914
2018-M-DC-2018-WG-M-CRO-USA-01,20180914
2018-M-DC-2018-WG-M-FRA-ESP-01,20180914
2018-M-DC-2018-G2-EPA-M-ROU-POL-01,20180915
2018-M-DC-2018-G2-AO-M-THA-LBN-01,20180915
2018-M-DC-2018-G2-AM-M-URU-MEX-01,20180915
2018-0341,20180917
2018-0568,20180917
2018-7581,20180924
2018-6967,20180924
2018-M015,20181001
2018-0329,20181001
2018-5014,20181008
2018-7485,20181015
2018-M014,20181015
2018-0429,20181015
2018-0328,20181022
2018-0337,20181022
2018-0352,20181029
2018-7696,20181105
2018-0605,20181112
2018-M-DC-2018-WG-M-FRA-CRO-01,20181123
