loser_name,num_defeats,winner_name
Adrian Mannarino,6,Alexander Zverev
Adrian Menendez Maceiras,3,Daniel Brands
Adrian Obert,1,Stephane Robert
Adrian Oetzbach,1,Marc Sieber
Adrian Sikora,1,Winston Lin
Adrian Ungur,4,Filip Krajinovic
Adriana Guzman,1,Michaela Honcova
Adriana Guzman,1,Alexia Coutino Castillo
Adriana Rajkovic,2,Emeline Dartron
Adriana Reami,1,Rasheeda Mcadoo
Adriana Reami,1,Hina Inoue
Adriana Reami,1,Erika Sema
Adriana Senkarova,1,Ana Vrljic
Adriana Senkarova,1,Georgia Andreea Craciun
Adriana Senkarova,1,Elena Teodora Cadar
Adriana Senkarova,1,Mirabelle Njoze
Adriana Sosnovschi,2,Ylona Georgiana Ghioroaie
Adrianna Sosnowska,1,Tereza Mihalikova
Adrianna Sosnowska,1,Marie Bouzkova
Adrianna Sosnowska,1,Oleksandra Korashvili
Adrianna Sosnowska,1,Julie Gervais
Adrianna Sosnowska,1,Oana Gavrila
Adrianna Sosnowska,1,Luisa Marie Huber
Adrianna Sosnowska,1,Victoria Kan
Adrien Bossel,2,Yann Marti
Adrien Puget,1,Pere Riba
Adrien Puget,1,Maxime Hamou
Adrien Puget,1,Guilherme Clezar
Adrien Puget,1,Constant Lestienne
Adrien Puget,1,Tommy Paul
Adrienn Horvath,2,Kristina Schmiedlova
Adrienn Nagy,2,Monika Kilnarova
Adrija Runcha,1,Chaleechan Tanasugarn
Adrija Runcha,1,Puriwat Chatpatcharoen
Adrija Runcha,1,Katriin Saar
Adrija Runcha,1,Piia Suomalainen
Adrija Runcha,1,Irina Kuzmina
Adrija Runcha,1,Ganna Poznikhirenko
Adrijana Lekaj,1,Eva Zagorac
Adrijana Lekaj,1,Katarina Zavatska
Adrijana Lekaj,1,Bojana Marinkovic
Adrijana Lekaj,1,Michaela Bayerlova
Adrijana Lekaj,1,Lisa Sabino
Adrijana Lekaj,1,Mira Antonitsch
Adrijana Lekaj,1,Ana Sofia Sanchez
Adva Dabah,1,Talya Zandberg
Adva Dabah,1,Keren Shlomo
Adva Dabah,1,Lina Glushko
Adva Dabah,1,Ekaterina Kazionova
Adva Dabah,1,Shavit Kimchi
Adva Dabah,1,Helene Scholsen
Adva Dabah,1,Sadafmoh Tolibova
Adva Dabah,1,Gozal Ainitdinova
Adva Dabah,1,Julia Vulpio
Adva Dabah,1,Nell Miller
Adva Dabah,1,Kristin Younes
Adva Dabah,1,Valeria Nikolaev
Advaitas Saravanan,1,Snehal Mane
Afroditi Tzanopoulou,1,Elpida Malamou
Afroditi Tzanopoulou,1,Michaela Boev
Afroditi Tzanopoulou,1,Ioana Gaspar
Afroditi Tzanopoulou,1,Lucie Wargnier
Agata Bachanek,1,Fanny Ostlund
Agata Bachanek,1,Gabriela Duca
Agata Bachanek,1,Yarden Akler
Agata Bachanek,1,Ines Ibbou
Agata Bachanek,1,Franziska Kommer
Agata Bachanek,1,Mira Antonitsch
Agata Jadwiga Bienkowska,1,Katarzyna Kubicz
Agata Jadwiga Bienkowska,1,Michika Ozeki
Agata Jadwiga Bienkowska,1,Clemence Fayol
Agata Jadwiga Bienkowska,1,Prerna Bhambri
Agata Jadwiga Bienkowska,1,Anna Slovakova
Agathe Timsit,2,Chi Chi Scholl
Aglaya Fedorova,1,Ayumi Koshiishi
Aglaya Fedorova,1,Tara Malik
Aglaya Zaynieva,1,Chen Ezra
Aglaya Zaynieva,1,Eliz Maloney
Aglaya Zaynieva,1,Chanel Janssen
Aglaya Zaynieva,1,Vasanti Shinde
Aglaya Zaynieva,1,Camilia Samel Druz
Agne Cepelyte,1,Karoline Kurz
Agnes Brun,1,Sihem Bellahouel
Agnes Bukta,2,Laura Ioana Andrei
Agnes Bukta,2,Cristina Dinu
Agnes Bukta,2,Martina Di Giuseppe
Agnes Bukta,2,Isabelle Wallace
Agnes Bukta,2,Elitsa Kostova
Agnes Bukta,2,Ylona Georgiana Ghioroaie
Agnes Bukta,2,Monika Kilnarova
Agnes Bukta,2,Ayla Aksu
Agnes Gustafsson,1,Oona Orpana
Agnes Gustafsson,1,Alexandra Viktorovitch
Agnes Gustafsson,1,Kathleen Kanev
Agnes Mitteregger,1,Alice Gillan
Agnes Ornella Biba,1,Melisa Morales
Agnes Ornella Biba,1,Akiko Okuda
Agnieszka Radwanska,3,Dominika Cibulkova
Agnieszka Radwanska,3,Svetlana Kuznetsova
Agnieszka Radwanska,3,Caroline Wozniacki
Agostina Breval,1,Marine Szostak
Agostina Breval,1,Anita Bertoloni
Agostina Landa,1,Antonia Samudio
Agostina Landa,1,Anfisa Danilchenko
Agostina Landa,1,Eugenia Ganga
Agustin Moreno,1,Mohamed Safwat
Agustin Moreno,1,Caio Zampieri
Agustin Moreno,1,Antonio Ruiz Rosales
Agustin Suarez Gonzalez,1,Orlando Luz
Agustin Velotti,3,Daniel Elahi Galan
Agustina Chlpac,2,Lamis Alhussein Abdel Aziz
Agustina Chlpac,2,Sandra Samir
Agustina Rimoldi Godoy,1,Jazmin Ortenzi
Agustina Rimoldi Godoy,1,Thai Sa Grana Pedretti
Agustina Rimoldi Godoy,1,Martina Capurro Taborda
Ah Song,1,Yu Jin Ahn
Ah Song,1,Ju Eun Kim
Ah Song,1,Dayeon Back
Ah Song,1,Soo Bin Oh
Ah Song,1,Sung Hee Kim
Ahlam Shawkat,2,Suzy Larkin
Ahmani Guichard,1,Gergana Topalova
Ai Kamiyoshihara,1,Anna Klasen
Ai Kamiyoshihara,1,Seung Yeon Hong
Ai Kamiyoshihara,1,Ling Zhang
Ai Kamiyoshihara,1,Sowjanya Bavisetti
Ai Qi Chen,1,Ya Yun Pai
Ai Qi Chen,1,Shou Na Mu
Ai Qi Chen,1,Soha Sadiq
Ai Qi Chen,1,Amy Zhu
Ai Qi Chen,1,Natasha Palha
Ai Qi Chen,1,Yuqi Sheng
Ai Yamaguchi,1,Klara Milicevic
Ai Yamaguchi,1,Ilay Yoruk
Ai Yamaguchi,1,Aldila Sutjiadi
Ai Yamaguchi,1,Yuuki Tanaka
Ai Yamaguchi,1,Julia Lovqvist
Aida Garcia Mendez,1,Angie Carolina Yepes Medina
Aida Garcia Mendez,1,Melisa Morales
Aida Garcia Mendez,1,Montserrat Gonzalez
Aida Garcia Mendez,1,Carson Branstine
Aida Kalimullina,1,Martina Colmegna
Aida Kalimullina,1,Maria Del Rosario Vazquez
Aida Kalimullina,1,Julia Terziyska
Aida Kalimullina,1,Sara Tomic
Aida Kalimullina,1,Elena Teodora Cadar
Aida Kalimullina,1,Agata Jadwiga Bienkowska
Aida Kalimullina,1,Barbara Gatica
Aida Kalimullina,1,Melanie Klaffner
Aida Kalimullina,1,Francesca Jones
Aidan Mchugh,3,Ivana Jorovic
Aigerim Akzhol Kyzy,1,Medhira Samarasinghe
Aigerim Akzhol Kyzy,1,Takhmina Burkhanova
Aiko Yoshitomi,3,Ling Zhang
Aimee Gibson,1,Margot Yerolymos
Aimee Tarun,1,Audrey Ann Blakely
Aimee Tarun,1,Kirsten Andrea Weedon
Aimee Tarun,1,Agustina Chlpac
Aimee Tarun,1,Akilah James
Aimee Tarun,1,Montserrat Gonzalez
Aimee Tarun,1,Louise Kwong
Aimee Tarun,1,Fernanda Brito
Aimee Tarun,1,Erika Drozd Pereira
Aimee Tarun,1,Anna Kubareva
Aimee Tarun,1,Nathaly Kurata
Aimee Tarun,1,Julita Saner
Aimee Tarun,1,Shahar Biran
Aimee Tarun,1,Gabriela Ce
Aimee Tarun,1,Shelly Bereznyak
Aimee Tarun,1,Nicole Khirin
Aimee Tarun,1,Koral Koldobski
Aimee Tarun,1,Vasilisa Aponasenko
Aina Domingo Bernabeu,1,Verena Meliss
Aina Domingo Bernabeu,1,Paula Arias Manjon
Ainhoa Atucha Gomez,2,Maria Gutierrez Carrasco
Ainhoa Atucha Gomez,2,Francisca Jorge
Ainhoa Atucha Gomez,2,Lucie Wargnier
Ainhoa Atucha Gomez,2,Cristina Bucsa
Ainhoa Atucha Gomez,2,Ioana Loredana Rosca
Ainhoa Meili Fernandez Del Moral Perier,1,Angela Fita Boluda
Ainius Sabaliauskas,1,Jurgen Zopp
Aino Alkio,2,Eun Se Jang
Aisam Ul Haq Qureshi,1,Finn Tearney
Aisam Ul Haq Qureshi,1,Denis Istomin
Aisam Ul Haq Qureshi,1,Taylor Fritz
Aisam Ul Haq Qureshi,1,Wishaya Trongcharoenchaikul
Aisha Al Suleimani,1,Marian Jade Capadocia
Aisha Kukushkina,1,Sabina Shaydullina
Aisha Niyonkuru,1,Noa Liauw A Fong
Aisha Niyonkuru,1,Dan Ni Wang
Aisling Oconnor,1,Amy Bowtell
Aisling Oconnor,1,Georgia Drummy
Aitor Aramburu,1,Jose Rubin Statham
Aitor Aramburu,1,Andres Molteni
Aitor Aramburu,1,Ruan Roelofse
Aiya Nupbay,1,Aleksandra Kuznetsova
Aiya Nupbay,1,Katarina Kuzmova
Aiya Nupbay,1,Elena Malygina
Aizat Zholdakayeva,1,Larisa Bekmetova
Ajeet Rai,1,Ari Fahresi
Ajeet Rai,1,Luis David Martinez
Ajeet Rai,1,Thiago Monteiro
Ajeet Rai,1,Roberto Marcora
Ajla Tomljanovic,4,Karolina Pliskova
Akanit Pumjit,1,Cheng Peng Hsieh
Akanksha Dileep Nitture,1,Ksenia Palkina
Akanksha Dileep Nitture,1,Ulrikke Eikeri
Akanksha Dileep Nitture,1,Valeriya Strakhova
Akanksha Dileep Nitture,1,Mihika Yadav
Akanksha Dileep Nitture,1,Farhat Aleen Qamar
Akanksha Dileep Nitture,1,Polina Monova
Akanksha Dileep Nitture,1,Naho Sato
Akari Inoue,2,I Hsuan Cho
Akari Kakizawa,2,Naomi Cheong
Akgul Amanmuradova,2,Tamara Korpatsch
Akgul Amanmuradova,2,Bibiane Schoofs
Akgul Amanmuradova,2,Aldila Sutjiadi
Akgul Amanmuradova,2,Anna Zaja
Akgul Amanmuradova,2,Magdalena Frech
Aki Yamasoto,1,Kamonwan Buayam
Aki Yamasoto,1,Yuanyi Yu
Aki Yamasoto,1,Yuuki Tanaka
Aki Yamasoto,1,Chihiro Nunome
Aki Yamasoto,1,Dabin Kim
Aki Yamasoto,1,Kai Chen Chang
Aki Yamasoto,1,Miyu Kato
Aki Yamasoto,1,Indy De Vroome
Aki Yamasoto,1,Hanyu Guo
Aki Yamasoto,1,Naiktha Bains
Akiho Kakuya,2,Irina Fetecau
Akiko Okuda,1,Dominique Karregat
Akiko Okuda,1,Elizabeth Mandlik
Akiko Okuda,1,Izabela Gabriela Novac
Akiko Okuda,1,Helene Scholsen
Akiko Okuda,1,Caroline Dunleavy
Akiko Okuda,1,Magali Kempen
Akiko Okuda,1,Ye Xin Ma
Akiko Okuda,1,Weronika Jasmina Forys
Akiko Okuda,1,Giorgia Pinto
Akiko Okuda,1,Emma Lene
Akiko Okuda,1,Giorgie Jones
Akiko Okuda,1,Sophia Intert
Akiko Okuda,1,Steffi Distelmans
Akiko Okuda,1,Valeria Prosperi
Akiko Okuda,1,Manon Leonard
Akiko Okuda,1,Alona Smith
Akiko Okuda,1,Stephanie Mariel Petit
Akiko Okuda,1,Samantha Murray
Akiko Okuda,1,Sviatlana Pirazhenka
Akiko Okuda,1,Iana Tishchenko
Akiko Okuda,1,Lamis Alhussein Abdel Aziz
Akiko Okuda,1,Kamilla Kokeladze
Akiko Okuda,1,Lou Brouleau
Akiko Omae,5,Kyoka Okamura
Akilah James,3,Fernanda Brito
Akira Santillan,4,Jason Jung
Akram El Sallaly,1,Noah Rubin
Akshara Iska,1,Zeel Desai
Akshara Iska,1,Natasha Palha
Akshara Iska,1,Ana Bianca Mihaila
Akvile Parazinskaite,1,Emily Fanning
Akvile Parazinskaite,1,Carson Branstine
Akvile Parazinskaite,1,Anastasia Evgenyevna Nefedova
Akvile Parazinskaite,1,Eliessa Vanlangendonck
Akvile Parazinskaite,1,Anhzelika Isaeva
Akvile Parazinskaite,1,Fernanda Contreras Gomez
Akvile Parazinskaite,1,Himeno Sakatsume
Akvile Parazinskaite,1,Olga Helmi
Akvile Parazinskaite,1,Giorgia Pinto
Alan Fernando Rubio Fierros,1,Taro Daniel
Alan Fernando Rubio Fierros,1,Marcelo Tomas Barrios Vera
Alan Fernando Rubio Fierros,1,Jordan Thompson
Alan Gadjiev,1,Damon Gooch
Alan Gadjiev,1,Arturo Schmidt
Alan Gadjiev,1,Tucker Vorster
Alan Kohen,1,Fabiano De Paula
Alan Sau Franco,1,Daniel Elahi Galan
Alan Sau Franco,1,Quentin Halys
Alana Parnaby,2,Hao Chen Tang
Alana Parnaby,2,Nagi Hanatani
Alana Repanich,1,Roopa Bains
Alana Roth,1,Jacquline Nylander Altelius
Alana Tuayeva,2,Emily Welker
Alana Wolfberg,1,Megan Mccray
Aland Sanson,1,Michel Vernier
Alara Ayaz,1,Lexington Reed
Alara Ayaz,1,Anna Martemyanova
Alara Ayaz,1,Carlota Martinez Cirez
Alara Ayaz,1,Gozde Turhan
Alara Ayaz,1,Miriam Bianca Bulgaru
Alara Ayaz,1,Stefanie Auer
Alara Ayaz,1,Tara Wurth
Alara Ayaz,1,Jantje Tilbuerger
Alara Ayaz,1,Lina Gjorcheska
Alara Ayaz,1,Vivien Sandberg
Alara Ayaz,1,Andreea Prisacariu
Alara Sener,1,Gebriela Mihaylova
Alastair Gray,1,Jozef Kovalik
Alastair Gray,1,Kamil Majchrzak
Alastair Gray,1,Viktor Troicki
Alastair Gray,1,Ilya Ivashka
Alastair Gray,1,Luke Saville
Alastair Gray,1,Kevin King
Alastair Gray,1,Marinko Matosevic
Alastair Gray,1,Martin Redlicki
Alastair Gray,1,James Duckworth
Alastair Gray,1,Soon Woo Kwon
Alba Carrillo Marin,3,Nuria Parrizas Diaz
Alba Carrillo Marin,3,Bianca Turati
Alba Carrillo Marin,3,Emily Appleton
Alba Carrillo Marin,3,Ivonne Cavalle Reimers
Alba Carrillo Marin,3,Alexandra Eala
Alba Cortina Pou,1,Klaartje Liebens
Alba Ferreres Fernandez,1,Alina Charaeva
Alba Ferreres Fernandez,1,Marine Partaud
Alba Retortillo Soiras,1,Lidia Moreno Arias
Alba Retortillo Soiras,1,Claudia De Las Heras Armenteras
Alba Rey Garcia,1,Tamira Paszek
Alba Rey Garcia,1,Ines Ibbou
Alba Rey Garcia,1,Himeno Sakatsume
Alba Rey Garcia,1,Marina Bassols Ribera
Alba Rey Garcia,1,Ylena In Albon
Alba Rey Garcia,1,Ivonne Cavalle Reimers
Alba Rey Garcia,1,Almudena Sanz Llaneza Fernandez
Alba Rey Garcia,1,Tara Wurth
Alba Rey Garcia,1,Nicole Fossa Huergo
Alba Rey Garcia,1,Vanessa Ersoz
Alba Rey Garcia,1,Olga Parres Azcoitia
Alba Rey Garcia,1,Emilie Lindh Gallagher
Alba Rey Garcia,1,Noelia Bouzo Zanotti
Alba Rey Garcia,1,Irina Cantos Siemers
Alba Rey Garcia,1,Claudia Hoste Ferrer
Alba Rey Garcia,1,Anna Siskova
Alba Rey Garcia,1,Nika Radisic
Alba Rey Garcia,1,Elena Malygina
Alba Rey Garcia,1,Christina Rosca
Alba Rey Garcia,1,Lisa Ponomar
Alba Rey Garcia,1,Angela Fita Boluda
Alba Rey Garcia,1,Akvile Parazinskaite
Alba Rey Garcia,1,Shuo Feng
Alba Rey Garcia,1,Daria Mironova
Alba Rey Garcia,1,Estrella Cabeza Candela
Alba Rey Garcia,1,Andreea Prisacariu
Alba Rey Garcia,1,Karen Marthiens
Alba Rey Garcia,1,Sapfo Sakellaridi
Alba Rey Garcia,1,Rutuja Bhosale
Albano Olivetti,3,Kevin Krawietz
Albert Alcaraz Ivorra,1,Jonathan Eysseric
Albert Alcaraz Ivorra,1,Di Wu
Albert Alcaraz Ivorra,1,Jonas Luetjen
Albert Montanes,2,Jan Lennard Struff
Albert Ramos,7,Pablo Cuevas
