player_id,country_id,name,sex,hand,ht,year_of_birth
202429,ITA,Camila Giorgi,F,R,168,1994
201444,TPE,Su Wei Hsieh,F,R,169,1988
214544,BLR,Aryna Sabalenka,F,R,182,2000
201490,SUI,Timea Bacsinszky,F,R,185,1991
201495,SVK,Dominika Cibulkova,F,R,161,1991
213583,GER,Tatjana Maria,F,R,185,1990
202469,ESP,Garbine Muguruza,F,R,182,1996
206420,RUS,Ekaterina Alexandrova,F,R,175,1997
201620,PUR,Monica Puig,F,R,170,1996
202458,AUS,Ashleigh Barty,F,R,166,1998
211533,LAT,Jelena Ostapenko,F,R,177,1999
201493,GER,Angelique Kerber,F,L,173,1990
201594,ROU,Simona Halep,F,R,168,1994
106186,AUS,Jason Kubler,M,R,185,1995
201527,SUI,Stefanie Voegele,F,R,170,1992
214956,CZE,Miriam Kolodziejova,F,R,185,1999
205923,AUS,Abbie Myers,F,R,185,1997
213666,AUS,Maddison Inglis,F,R,171,2000
201610,KAZ,Zarina Diyas,F,R,172,1996
201366,CZE,Barbora Zahlavova Strycova,F,R,164,1988
215811,AUS,Alexandra Bozovic,F,U,185,2001
205815,JPN,Eri Hozumi,F,R,185,1996
201318,USA,Bethanie Mattek Sands,F,R,168,1987
214461,SLO,Tamara Zidansek,F,R,168,2000
104745,ESP,Rafael Nadal,M,L,185,1988
103819,SUI,Roger Federer,M,R,185,1984
100644,GER,Alexander Zverev,M,R,198,1999
105227,CRO,Marin Cilic,M,R,198,1991
106432,CRO,Borna Coric,M,R,188,1999
105936,SRB,Filip Krajinovic,M,R,185,1994
104792,FRA,Gael Monfils,M,R,193,1989
106283,USA,Mitchell Krueger,M,R,185,1996
105554,GBR,Daniel Evans,M,R,175,1992
111794,POL,Kamil Majchrzak,M,R,185,1998
104678,SRB,Viktor Troicki,M,R,193,1988
144750,RSA,Lloyd Harris,F,R,193,1999
200484,GER,Rudolf Molleker,M,R,185,2003
105882,ITA,Stefano Travaglia,M,R,185,1994
104563,ITA,Luca Vanni,M,R,185,1987
105967,SUI,Henri Laaksonen,M,R,185,1994
105147,JPN,Tatsuma Ito,M,R,180,1990
105163,FRA,Gleb Sakharov,M,R,185,1990
104810,CHN,Zhe Li,M,R,185,1989
106058,USA,Jack Sock,M,R,185,1995
106071,AUS,Bernard Tomic,M,R,193,1995
104386,SRB,Janko Tipsarevic,M,R,180,1986
105062,KAZ,Mikhail Kukushkin,M,R,183,1990
104999,GER,Mischa Zverev,M,L,190,1990
105643,ARG,Federico Delbonis,M,L,190,1993
103852,ESP,Feliciano Lopez,M,L,188,1984
201466,EST,Kaia Kanepi,F,R,181,1987
213550,USA,Sofia Kenin,F,R,170,2001
206368,RUS,Veronika Kudermetova,F,R,175,1999
201427,FRA,Alize Cornet,F,R,173,1992
202418,ESP,Lara Arruabarrena,F,R,166,1994
200748,USA,Venus Williams,F,R,185,1982
216262,FRA,Clara Burel,F,R,176,2003
202446,CAN,Eugenie Bouchard,F,R,178,1996
201397,CHN,Shuai Peng,F,R,173,1988
200033,USA,Serena Williams,F,R,175,1984
212001,RUS,Natalia Vikhlyantseva,F,R,185,1999
202453,CHN,Saisai Zheng,F,R,170,1996
203435,SLO,Dalila Jakupovic,F,R,185,1993
216347,POL,Iga Swiatek,F,R,176,2003
202536,ROU,Ana Bogdan,F,R,185,1995
201483,USA,Madison Brengle,F,R,185,1992
201595,JPN,Misaki Doi,F,L,159,1993
202663,POL,Magda Linette,F,R,171,1994
201696,GER,Laura Siegemund,F,R,185,1990
201458,BLR,Victoria Azarenka,F,R,180,1992
202492,CHN,Qiang Wang,F,R,172,1994
211539,FRA,Fiona Ferro,F,R,170,1999
215370,CAN,Bianca Andreescu,F,R,170,2002
215992,USA,Whitney Osuigwe,F,R,185,2004
201621,GER,Mona Barthel,F,R,185,1992
203533,SVK,Anna Karolina Schmiedlova,F,R,185,1997
202506,RUS,Margarita Gasparyan,F,R,185,1997
202684,CHN,Lin Zhu,F,R,185,1996
201426,FRA,Pauline Parmentier,F,R,175,1988
201619,USA,Madison Keys,F,R,178,1997
201533,CHN,Shuai Zhang,F,R,177,1991
201697,CZE,Kristyna Pliskova,F,L,185,1994
215020,RUS,Anna Blinkova,F,R,185,2001
214149,SVK,Viktoria Kuzmova,F,R,185,2000
201593,ROU,Irina Camelia Begu,F,R,181,1993
202505,SUI,Belinda Bencic,F,R,175,1999
216153,USA,Amanda Anisimova,F,R,185,2004
201512,ROU,Monica Niculescu,F,R,168,1990
211107,GBR,Katie Boulter,F,R,180,1999
201505,RUS,Ekaterina Makarova,F,L,178,1990
214939,RUS,Anna Kalinskaya,F,R,185,2001
202503,THA,Luksika Kumkhum,F,R,185,1996
206374,CHN,Yafan Wang,F,R,185,1996
206391,AUS,Ellen Perez,F,L,185,1998
206292,AUS,Astra Sharma,F,R,185,1998
206289,GRE,Maria Sakkari,F,R,172,1998
201345,RUS,Maria Sharapova,F,R,185,1989
202490,SWE,Rebecca Peterson,F,R,185,1998
201514,ROU,Sorana Cirstea,F,R,176,1992
201596,SWE,Johanna Larsson,F,R,174,1991
214304,BLR,Vera Lapko,F,R,185,2001
201496,DEN,Caroline Wozniacki,F,R,177,1992
202421,BEL,Alison Van Uytvanck,F,R,173,1996
203501,USA,Taylor Townsend,F,L,185,1998
201693,HUN,Timea Babos,F,R,179,1995
202460,TUN,Ons Jabeur,F,R,167,1997
214954,CZE,Marketa Vondrousova,F,L,173,2001
201516,RUS,Evgeniya Rodina,F,R,185,1991
201549,CRO,Petra Martic,F,R,181,1993
204427,ESP,Sara Sorribes Tormo,F,R,185,1999
201465,BEL,Kirsten Flipkens,F,R,165,1988
201499,RUS,Anastasia Pavlyuchenkova,F,R,177,1993
201590,USA,Alison Riske,F,R,173,1992
201504,GER,Julia Goerges,F,R,180,1991
203500,USA,Sachia Vickery,F,R,185,1997
204434,BEL,Ysaline Bonaventure,F,L,185,1997
201614,FRA,Caroline Garcia,F,R,177,1996
211316,FRA,Jessika Ponchet,F,U,185,1999
211651,ESP,Paula Badosa,F,R,180,2000
206242,BRA,Beatriz Haddad Maia,F,L,185,1998
201555,SLO,Polona Hercog,F,R,182,1993
132283,ITA,Lorenzo Sonego,M,R,191,1997
126652,GBR,Jay Clarke,M,R,185,2001
105216,JPN,Yuichi Sugita,M,R,173,1991
105841,ITA,Lorenzo Giustino,M,R,185,1994
200095,ESP,Nicola Kuhn,M,R,185,2002
105963,BEL,Arthur De Greef,M,R,185,1994
144895,FRA,Corentin Moutet,M,L,178,2001
124079,ESP,Pedro Martinez,F,R,185,1999
104873,KAZ,Aleksandr Nedovyesov,M,R,185,1989
126845,AUS,Max Purcell,M,R,185,2000
105585,CHN,Ze Zhang,M,R,185,1992
109303,ITA,Stefano Napolitano,M,R,185,1997
106390,ITA,Matteo Donati,M,R,185,1997
134868,NED,Tallon Griekspoor,M,R,185,1998
123755,COL,Daniel Elahi Galan,F,R,191,1998
126205,USA,Tommy Paul,M,R,185,1999
106232,DOM,Roberto Cid,M,R,185,1996
200514,AUT,Jurij Rodionov,M,L,185,2001
122330,KAZ,Alexander Bublik,M,R,196,1999
104297,BRA,Rogerio Dutra Silva,M,R,178,1986
134770,NOR,Casper Ruud,M,R,183,2001
104735,GER,Tobias Kamke,M,R,180,1988
105487,ARG,Facundo Bagnis,M,L,183,1992
106249,POR,Joao Domingues,M,R,185,1996
106005,FRA,Constant Lestienne,M,R,185,1994
105634,ITA,Viktor Galovic,M,R,185,1993
105782,ESP,Enrique Lopez Perez,M,R,185,1993
105385,USA,Donald Young,M,L,183,1992
133297,JPN,Yosuke Watanuki,M,R,185,2000
126952,KOR,Soon Woo Kwon,M,R,180,2000
105065,USA,Tim Smyczek,M,R,175,1990
105041,SVK,Lukas Lacko,M,R,185,1990
106353,SRB,Pedja Krstin,M,R,185,1997
110748,SRB,Nikola Milojevic,M,R,188,1997
123921,FRA,Calvin Hemery,M,R,185,1997
200466,AUS,Alexander Crnokrak,M,R,185,2002
111460,FRA,Quentin Halys,M,R,185,1999
106293,BEL,Kimmer Coppejans,M,R,185,1996
200221,ESP,Alejandro Davidovich Fokina,M,R,183,2001
104424,JPN,Go Soeda,M,R,178,1987
200624,USA,Sebastian Korda,M,R,196,2002
106228,ARG,Juan Ignacio Londero,M,R,185,1996
103990,ESP,Tommy Robredo,M,R,180,1984
106214,GER,Oscar Otte,M,R,185,1996
106099,ITA,Salvatore Caruso,M,R,185,1995
106105,BRA,Guilherme Clezar,M,R,185,1995
105300,ESP,Sergio Gutierrez Ferrol,M,R,185,1991
124014,USA,Ernesto Escobedo,M,R,185,1998
